,City,State,Shape,Sight_Date,Sight_Time,Sight_Weekday,Sight_Day,Sight_Month
358,Georgetown,IL,Other,1999-06-01,14:00,Terça-feira,1,6
359,Bridgeport,CT,Other,1999-06-01,13:00,Terça-feira,1,6
360,Tucson,AZ,Other,1999-06-01,12:00,Terça-feira,1,6
361,Renton,WA,Disk,1999-06-01,12:00,Terça-feira,1,6
363,Lorain,OH,Light,1999-06-01,02:00,Terça-feira,1,6
365,Rowland Heights,CA,Light,1999-06-01,02:00,Terça-feira,1,6
366,Venice,FL,Disk,1999-06-01,02:00,Terça-feira,1,6
367,Gig Harbor,WA,Circle,1999-06-01,01:00,Terça-feira,1,6
368,Guilford,CT,Unknown,1999-06-01,01:00,Terça-feira,1,6
369,South Jordan,UT,Circle,1999-06-01,01:00,Terça-feira,1,6
370,Breckenridge,MN,Disk,1999-06-01,01:00,Terça-feira,1,6
372,Fremont,MI,Light,1999-06-01,00:00,Terça-feira,1,6
373,Andover,MA,Unknown,1999-06-01,00:00,Terça-feira,1,6
375,Ponca City,OK,Triangle,1999-07-28,22:00,Quarta-feira,28,7
376,Coalinga,CA,Triangle,1999-07-23,23:45,Sexta-feira,23,7
377,Bay Point/ Pittsburg,CA,Other,1999-07-22,20:00,Quinta-feira,22,7
378,Jackson,LA,Other,1999-07-21,18:00,Quarta-feira,21,7
379,Cherokee Pass,MO,Other,1999-07-15,20:15,Quinta-feira,15,7
380,Oxford,ME,Disk,1999-07-15,19:00,Quinta-feira,15,7
381,Mosier,OR,Light,1999-07-15,01:00,Quinta-feira,15,7
382,Blyville,AR,Other,1999-07-14,17:00,Quarta-feira,14,7
383,Grand Rapids,MI,Light,1999-07-14,14:00,Quarta-feira,14,7
384,Bald Eagle Lake,MN,Fireball,1999-07-07,23:00,Quarta-feira,7,7
386,Seattle,WA,Light,1999-07-07,16:30,Quarta-feira,7,7
387,San Jose,CA,Unknown,1999-07-07,03:00,Quarta-feira,7,7
388,Omaha (~ 60 mi. NW of),NE,Triangle,1999-07-06,22:00,Terça-feira,6,7
390,Pauls Valley,OK,Sphere,1999-07-04,22:00,Domingo,4,7
391,Luna Pier,MI,Sphere,1999-07-02,14:00,Sexta-feira,2,7
392,Dannemora,NY,Unknown,1999-07-01,19:00,Quinta-feira,1,7
393,Chicago,IL,Disk,1999-07-01,09:00,Quinta-feira,1,7
394,San Diego,CA,Circle,1999-08-28,02:00,Sábado,28,8
396,Grapevine,CA,Light,1999-08-26,00:00,Quinta-feira,26,8
397,Ivanhoe,CA,Light,1999-08-25,00:00,Quarta-feira,25,8
398,Chicago,IL,Other,1999-08-22,11:55,Domingo,22,8
399,Port Huron,MI,Circle,1999-08-17,14:00,Terça-feira,17,8
400,Grand Marais,MN,Sphere,1999-08-16,23:00,Segunda-feira,16,8
402,Spokane,WA,Light,1999-08-15,23:00,Domingo,15,8
403,Salem,OR,Other,1999-08-15,23:00,Domingo,15,8
404,Hobe Sound,FL,Circle,1999-08-15,21:00,Domingo,15,8
405,Gaylesville,AL,Unknown,1999-08-15,21:00,Domingo,15,8
406,Vancouver,WA,Unknown,1999-08-15,18:50,Domingo,15,8
408,Centerville,IA,Circle,1999-08-15,02:30,Domingo,15,8
410,Vancouver,WA,Oval,1999-08-13,23:00,Sexta-feira,13,8
411,Casa Grande,AZ,Triangle,1999-08-13,23:00,Sexta-feira,13,8
414,New York City (Manhattan),NY,Triangle,1999-08-07,17:00,Sábado,7,8
415,Spokane,WA,Triangle,1999-08-05,01:30,Quinta-feira,5,8
416,San Jose,CA,Disk,1999-08-01,13:00,Domingo,1,8
417,Aberdeen,WA,Triangle,1999-09-30,21:00,Quinta-feira,30,9
419,St. David,IL,Light,1999-09-25,23:30,Sábado,25,9
420,LaCygne,KS,Changing,1999-09-22,01:00,Quarta-feira,22,9
422,"Boring, Sandy area",OR,Circle,1999-09-17,20:11,Sexta-feira,17,9
423,Colorado Springs,CO,Sphere,1999-09-17,09:00,Sexta-feira,17,9
424,Hinsdale (unincorporated area),IL,Other,1999-09-17,01:00,Sexta-feira,17,9
425,Columbia Falls,MT,Disk,1999-09-15,23:00,Quarta-feira,15,9
426,Bath,ME,Triangle,1999-09-15,09:00,Quarta-feira,15,9
427,Redland,OR,Unknown,1999-09-15,01:00,Quarta-feira,15,9
429,Florence,MT,Light,1999-09-10,02:00,Sexta-feira,10,9
431,Alsea,OR,Light,1999-09-08,20:00,Quarta-feira,8,9
432,Highland Park,MI,Triangle,1999-09-06,23:45,Segunda-feira,6,9
433,Sutton,WV,Disk,1999-09-05,06:30,Domingo,5,9
434,Paola,KS,Cigar,1999-09-01,21:00,Quarta-feira,1,9
435,Coon Rapids,MN,Triangle,1999-09-01,21:00,Quarta-feira,1,9
436,Zanesville,OH,Circle,1999-09-01,19:00,Quarta-feira,1,9
437,Bicknell,IN,Light,1999-09-01,19:00,Quarta-feira,1,9
438,Junction City,OH,Triangle,1999-09-01,00:00,Quarta-feira,1,9
439,Nassau,NY,Triangle,1999-10-31,18:45,Domingo,31,10
441,Austin,TX,Oval,1999-10-27,19:30,Quarta-feira,27,10
442,Chesapeak Bay,MD,Disk,1999-10-26,20:00,Terça-feira,26,10
443,Yadkinville,NC,Fireball,1999-10-25,21:00,Segunda-feira,25,10
444,White River National Forest,AR,Light,1999-10-20,02:00,Quarta-feira,20,10
445,Round Rock,TX,Sphere,1999-10-19,22:45,Terça-feira,19,10
447,Buffalo,NY,Triangle,1999-10-15,23:00,Sexta-feira,15,10
448,Taylor,MI,Sphere,1999-10-15,18:30,Sexta-feira,15,10
449,Sierra Vista,AZ,Circle,1999-10-15,18:00,Sexta-feira,15,10
451,Lexington,MA,Fireball,1999-10-15,02:00,Sexta-feira,15,10
452,Tulsa,OK,Other,1999-10-12,22:15,Terça-feira,12,10
453,Jersey,NJ,Disk,1999-10-12,10:30,Terça-feira,12,10
454,Miami,OK,Oval,1999-10-12,09:00,Terça-feira,12,10
457,Lancaster,CA,Triangle,1999-11-30,00:00,Terça-feira,30,11
458,St. Petersburg,FL,Light,1999-11-28,22:00,Domingo,28,11
459,San Antonio,TX,Unknown,1999-11-28,21:30,Domingo,28,11
460,Dubois,PA,Fireball,1999-11-28,00:00,Domingo,28,11
461,Rocky Mount,NC,Cigar,1999-11-24,21:00,Quarta-feira,24,11
462,Anaheim,CA,Fireball,1999-11-24,10:00,Quarta-feira,24,11
463,Millwood,KY,Formation,1999-11-16,00:00,Terça-feira,16,11
464,Kayenta,AZ,Light,1999-11-16,23:00,Terça-feira,16,11
465,Simpsonville,KY,Fireball,1999-11-16,21:30,Terça-feira,16,11
