,City,Shape,Quantidade
6477,Hollywood,Cigar,15.0
6489,San Juan Bautista,Circle,2.0
6496,San Francisco,Triangle,122.0
6497,Antioch,Triangle,38.0
6507,Modesto,Sphere,67.0
6517,Gardena,Circle,4.0
6520,Pinole,Flash,3.0
6526,Simi Valley,Light,34.0
6527,Palmdale,Oval,34.0
6533,North Highlands,Light,5.0
6534,National City,Sphere,6.0
6540,Visalia,Sphere,35.0
6545,Paso Robles,Cylinder,13.0
6546,San Francisco,Light,122.0
6556,Novato,Circle,11.0
6557,Chico,Sphere,28.0
6559,Livermore,Circle,18.0
6571,Dublin,Other,9.0
6579,Upland,Fireball,17.0
6580,Norco,Fireball,4.0
6594,Hayward,Cigar,26.0
6601,Berkeley,Chevron,23.0
6607,Long Beach,Other,91.0
6619,Carmel Valley,Oval,4.0
6621,San Clemente,Light,24.0
6644,Los Angeles,Disk,249.0
6646,Adelanto,Unknown,3.0
6657,Simi Valley,Rectangle,34.0
6659,San Jose,Sphere,159.0
6660,Lafayette,Unknown,5.0
6666,Hayward,Sphere,26.0
